CategoryD,currencyD,sellerRating,DurationD,endDayD,ClosePrice,OpenPrice,Competitive
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
13,0,3249,2,0,0.01,0.01,0
1,0,3115,3,1,0.01,0.01,0
1,0,3115,3,1,0.01,0.01,0
1,0,3115,3,1,0.01,0.01,0
1,0,3115,3,1,0.01,0.01,0
1,0,3115,3,1,0.01,0.01,1
1,0,3115,3,1,0.01,0.01,1
13,0,37727,3,0,0.01,0.01,0
13,0,3249,2,0,0.06,0.01,1
13,0,3249,2,0,0.1,0.01,1
16,0,34343,0,4,0.11,0.01,1
13,0,3249,2,0,0.11,0.01,1
13,0,3249,2,0,0.17,0.01,1
13,0,3249,2,0,0.17,0.01,1
13,0,3249,2,0,0.21,0.01,1
13,0,3249,2,0,0.55,0.01,1
13,0,3249,2,0,0.55,0.01,1
13,0,3249,2,0,1.05,0.01,1
13,0,3249,2,0,1.25,0.01,1
13,0,3249,2,0,1.25,0.01,1
13,0,3249,2,0,1.25,0.01,1
13,0,3249,2,0,1.25,0.01,1
13,0,3249,2,0,1.29,0.01,1
13,0,3249,2,0,1.3,0.01,1
13,0,3249,2,0,1.32,0.01,1
13,0,3249,2,0,1.32,0.01,1
13,0,3249,2,0,1.37,0.01,1
13,0,3249,2,0,1.5,0.01,1
13,0,3249,2,0,1.58,0.01,1
13,0,3249,2,0,1.75,0.01,1
13,0,3249,2,0,2,0.01,1
13,0,3249,2,0,2,0.01,1
13,0,3249,2,0,2,0.01,1
13,0,3249,2,0,2.05,0.01,1
13,0,3249,2,0,2.13,0.01,1
13,0,3249,2,0,2.25,0.01,1
13,0,3249,2,0,2.25,0.01,1
13,0,3249,2,0,2.3,0.01,1
1,0,3115,3,1,2.31,0.01,1
13,0,3249,2,0,2.33,0.01,1
13,0,3249,2,0,2.8,0.01,1
13,0,3249,2,0,3,0.01,1
13,0,3249,2,0,3,0.01,1
13,0,3249,2,0,3.01,0.01,1
13,0,3249,2,0,3.06,0.01,1
13,0,3249,2,0,3.08,0.01,1
13,0,3249,2,0,3.25,0.01,1
13,0,3249,2,0,3.25,0.01,1
13,0,3249,2,0,3.25,0.01,1
13,0,3249,2,0,3.25,0.01,1
13,0,3249,2,0,3.26,0.01,1
13,0,3249,2,0,3.27,0.01,1
13,0,3249,2,0,3.3,0.01,1
13,0,3249,2,0,3.31,0.01,1
13,0,3249,2,0,3.36,0.01,1
13,0,3249,2,0,3.5,0.01,1
13,0,3249,2,0,3.55,0.01,1
13,0,3249,2,0,3.75,0.01,1
13,0,3249,2,0,3.75,0.01,1
13,0,3249,2,0,3.76,0.01,1
13,0,3249,2,0,3.8,0.01,1
13,0,3249,2,0,3.8,0.01,1
13,0,3249,2,0,3.84,0.01,1
13,0,3249,2,0,4.17,0.01,1
13,0,3249,2,0,4.25,0.01,1
13,0,3249,2,0,4.25,0.01,1
13,0,3249,2,0,4.25,0.01,1
13,0,3249,2,0,4.25,0.01,1
13,0,37727,3,0,4.26,0.01,1
13,0,3249,2,0,4.29,0.01,1
13,0,3249,2,0,4.31,0.01,1
13,0,3249,2,0,4.4,0.01,1
13,0,3249,2,0,4.54,0.01,1
13,0,3249,2,0,4.75,0.01,1
13,0,3249,2,0,4.9,0.01,1
13,0,3249,2,0,5,0.01,1
13,0,3249,2,0,5,0.01,1
13,0,3249,2,0,5.01,0.01,1
13,0,3249,2,0,5.5,0.01,1
